Gene,ACC,BLCA,BRCA,CESC,CHOL,COAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM,Stouffer's Z
ABCE1,-0.960419632506144,1.0923107572996,-0.2225278023039,-0.817063616664349,-1.05617212619543,-1.28007375561589,-0.771916053443563,-0.310061106507862,0.423040452444009,-0.235813985894173,-0.855607233172742,-0.402317142313347,-3.9383754452753,-0.178219074144834,0.794653113831567,-1.69818748601642,-0.456151366386648,1.07064057280456,-0.747181161062422,-1.31053330058496,-1.31236499820243,3.24820047248487,0.772772754718354,-1.53499125174778,-0.104550084610365,0.502974271588286,-0.43032334787255,1.38921817818901,0.869970860154568,0.264834457593075,-2.16473580845019,-0.391412967668641,-1.13198623243713,-2.06845495803412
ABCF2,-1.80541287241997,-0.0592832203938299,-0.0287715591455187,-0.287299601631001,2.00237200545228,1.55609244507429,0.33856999690925,-0.434818850207126,-0.389238401308634,-1.13229522046758,0.562528418808947,0.499256945762091,0.936968622166307,-1.35940110904677,4.46737793108098,0.669385634829199,-1.15417540255326,-1.01362192203352,1.26505602452074,-0.997515364034988,-0.0858532566737842,0.0866035208062985,2.24536976582813,-0.4305585053165,-0.45670460362001,0.734203667598768,-0.602553271540904,-1.23054231118578,0.769584265309023,-0.747534817977017,0.645277727726114,1.42173988037465,3.35801106414402,1.62637579250099
ABL1,2.35647383341028,0.325253158936184,0.4928979455646,-0.398659162808004,-0.105894058787015,1.4420310972108,1.6947944862246,-0.576007631822158,-1.36165802037134,0.505957522541778,-1.78164884056922,1.06322907779255,-1.0481778023663,1.80325012065839,-1.03207533327361,-0.380263008248184,0.270432720071446,1.32257206616004,0.137132035368075,-0.273117033171331,-1.70188385286713,-0.799946253353215,4.6280167423321,-0.244285228770389,-1.82385898084329,0.748630878617599,-0.734419031524229,-0.0197149629117741,-0.860031095621665,-0.86390696652716,-0.733983445355319,1.10642137003172,-0.899184253862411,0.39313316449381
ACACA,-0.788716964070918,-0.103813238431667,-1.55595478910783,0.830040032640842,1.65413888135386,0.114778853052142,0.601180278240346,-0.0245490817464733,-0.512050885319222,1.31692300919511,0.983797269912569,1.9461273503479,2.12236496993707,-1.76695023784253,-0.987625018699374,-0.298379569151301,-1.02661311543862,-0.467128448464063,1.22529494577661,2.79301616874048,0.199620510056538,0.203224787587785,-2.14522959940966,1.57584207146048,-1.06092346095981,-0.777563509525204,0.593564917569635,0.22719553250751,0.28337731830487,1.42728422419626,0.408450385013404,-0.168208285805109,0.437770066918041,1.26385345857706
ACLY,-0.108766969756601,-0.0430712670346984,-1.55421686468039,1.09124525959685,2.45797947110751,-1.24426546885959,-0.127940596673974,-0.333315117469617,-0.00338522418042,0.0092458831081001,0.980627839981051,2.10904509392794,1.33512067927047,-1.30785619229799,-1.06141093691449,-0.101196940168918,-1.62272964301577,-0.483242825594742,0.258196932445471,0.0914134635919262,-0.208417891311762,1.07057603376915,-0.714874468409294,-1.26753883169283,-1.70786956735826,-0.456705749986726,1.24448880992151,0.91246592038378,0.28375434004546,1.2454089927341,-2.82486519671276,0.19806732040292,0.437770066918042,-0.251762185200668
ACSL3,2.85004121130161,-0.362781609958568,-0.839353486072977,-0.381853412598097,0.865769524949786,0.0487301874642692,0.542386671777555,0.797691754677683,0.178870374414395,-0.611285755929105,-1.40384443024155,-1.13000788668777,1.46423513339576,0.0259843775056293,1.93127337240034,1.10517023080458,-0.298472171924893,1.13156175238201,-1.07355878907749,0.449920410855597,-0.620050245567877,-1.51266597594029,2.41541929003305,1.51772641904247,0.674127170125041,0.371876916183563,-1.23448313755406,-1.79008823270998,0.575245798491905,0.230614174921127,0.79909475744586,-0.210052753049024,1.5401391758185,1.40086918915034
ACTR2,2.26005351039354,-1.5631796710781,1.55415932151454,0.333627387090668,2.84226707898101,0.624050108414876,-0.190707634372413,2.26473008400378,-0.356101097364347,-0.0454287227228954,-0.188202988674711,-0.351916281800959,1.18312692652926,0.761003529287113,0.795578749040785,0.339472200402712,0.264354524392114,-1.2841904455313,0.0450760894638448,1.2469494663848,1.43923342036605,1.83565577253772,0.762996018312863,0.718055421759486,-0.869948923265246,-0.0412002513643953,-0.403140087993353,-0.826884926470684,0.825331181633734,-0.781107142528569,1.3494257116441,1.32296246836414,1.93929560379174,3.0995216688728
ACTR3,3.17112663339456,-0.252190143353536,0.607637660238341,1.03740246049422,1.08624014468058,0.217007814685698,1.20528000407695,0.428521545896132,-0.169388342616413,1.6204986442206,-0.104405786022671,0.602818881416957,2.872416677321,-0.25826203322691,2.20594443197287,-0.482496966283244,-0.342285989014734,-0.62389072202592,1.16143798790762,0.810331419364441,0.499657570910761,-1.45505153470184,1.2203792177378,1.62138671399072,-0.480678743479324,-0.295316913751984,1.10588108647018,-0.774350467638681,2.50598871848195,-0.426815707040069,2.22587849984998,0.182724330554473,1.35809034101071,3.84389879512041
ADD3,1.6125591215845,0.12082189547057,-2.42144041724932,-1.08123425577167,-0.131803997703406,0.551295166882201,0.274728268292724,-0.117227350564975,0.740233853899249,0.109793538437435,-1.73088299331831,-1.28388215501484,-0.413868956023777,2.50705509083597,-7.04931607511264,-0.783495089312708,-0.204679862765664,-0.501149125514751,-1.34989420756652,0.404972328367167,1.08957364385355,0.0088562483621481,-1.92524160109593,0.839720117668792,-0.707911892381909,-0.653058200730431,-0.312374224699194,1.95832530271088,-1.09634627490769,-1.25295457294239,-1.01358388072467,-1.80051261298155,0.484497029486304,-2.63352096084252
ADIPOR2,-0.336610957254801,-0.0186228015171152,0.485806216361996,0.0195451203229929,-1.19193592340871,1.12913479043755,0.872518984694172,-0.335115289144588,0.697843927692497,-0.410563434043159,-2.33442015151069,2.58259446714015,0.566166898243721,-2.39469306542727,0.215699389703101,-0.544611437354871,1.47987155196081,0.0478680596649949,2.32361737600898,0.997983279233566,-0.162651599490946,0.598979244920239,-2.14874052109358,-2.10875236319228,0.446626089075388,2.16787163803325,-0.446745890020565,0.916228388650368,0.170517201496224,2.68938211632416,-0.200980132300022,-0.154334110902111,0.773309368166636,1.1128412770157
